Text;User;Location;Created;Favourite_count;Retweet_count;Source
"RT @McDonalds: Behind the Sauce: Making of Film
#BTSMeal 

https://t.co/vS1T7epAYG https://t.co/EKGkBe8MC1";Diba⁷💀;جمهوری اسلامی ایران;2021-06-23 21:06:29;0;31190;Twitter for Android
RT @angx___: #BTSMeal #btsmealNicaragua omg this is amazing I’m so happy 💜💜💜🎉🎉🎉🎉 https://t.co/LbdBgidUuD;Victoria 🦖🇳🇮;Nicaragua;2021-06-23 21:05:38;0;2;Twitter for Android
"Omg the capt🥺🥺🥺
Really hope my country do the same soon🥺😭 Ppppppp @McDonalds_ID 

#BTSMeal https://t.co/c1OY70lr8T https://t.co/iPNd6aZYrd";bakso urat⁷💜;warung;2021-06-23 21:05:08;0;0;Twitter for Android
"Happy BTS meal to me 🎉♡
#BTSMeal 
#McDonaldsXBTS https://t.co/iGfquiYXTw";Susy Henríquez;No tiene;2021-06-23 21:04:59;0;0;Twitter for Android
"RT @geurim_art: Screenshot and see who you got for your #BTSMeal 
#BTS #btsfanart #artmy 
@BTS_twt https://t.co/RdmMvASmPc";ina⁷♡'s sya ✧;"minor | fan acc ⤾·˚
⌗iloveyou ";2021-06-23 21:03:50;0;6;Twitter for Android
"RT @geurim_art: Screenshot and see who you got for your #BTSMeal 
#BTS #btsfanart #artmy 
@BTS_twt https://t.co/RdmMvASmPc";jane⁷ ♡;she/her  19  desi;2021-06-23 21:02:15;0;6;Twitter for Android
chales #BTSMeal https://t.co/FcOj0NtW6w;:(⁷;CDMX 💗;2021-06-23 21:01:38;0;0;Twitter for Android
"RT @Jonah_writer: My interview with McDo Philippines' Marketing head Margot Torres
MANILA BULLETIN: #BTSMeal sells nearly 1 million orders…";🛍🧈ButterEra₇🌈🍟;No tiene;2021-06-23 21:01:15;0;345;Twitter for Android
#BTSMeal #btsmealNicaragua omg this is amazing I’m so happy 💜💜💜🎉🎉🎉🎉 https://t.co/LbdBgidUuD;Angie.;No tiene;2021-06-23 21:00:53;14;2;Twitter for iPhone
"If we have a BTS Meal, we need a Miku Meal as well!
#BTSMeal #VOCALOID #HatsuneMiku #初音ミク #Nendoroid #Miku #ミク https://t.co/gYt7NcXL4n";Jnr2110;No tiene;2021-06-23 20:58:32;1;0;Twitter for Android
Al fin 🥺🥺🥰🥰 #BTSMeal #ARMY #bts https://t.co/OCivGo1XXI;Sahori Guerrero;Honduras;2021-06-23 20:58:20;0;0;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;𝐍𝐢𝐤𝐢⁷🍓;نامكاندا;2021-06-23 20:57:39;0;81;Twitter for iPhone
RT @Project0613PH: Good morning, guys! We're still lost for words with how heartwarming this has been for all of us. Last night, when we re…;dd⁷;Japan;2021-06-23 20:56:01;0;293;Twitter for Android
@BTSOriented @BTS_twt I've been trying to get my #BTSMeal here in Mexico but always sold out or unavailable;ceci⁷ 🧈;Mexico;2021-06-23 20:55:30;1;0;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;∞⟭⟬ᴮᴱAlissma⁷⟬⟭💜🧈;Polska;2021-06-23 20:54:53;0;81;Twitter for Android
"Pure joy 
#BTS 
#BTSMealElSalvador 
#BTSMeal https://t.co/SsnfDvRRaH";Membreño;El Salvador;2021-06-23 20:53:16;2;0;Twitter for Android
"@chartdata @BTS_twt 
BTS!!!
#BTS #Butter11thWin #BTSMeal WE LOVE YOU BTS #MTVLAKPOPBTS #BTS8thAnniversary #BTS_Butter https://t.co/CwWOy0onqp";OT7;No tiene;2021-06-23 20:52:02;1;0;Twitter for Android
RT @jaydenation: #BTSmeal but make it @Josiahchua customs. I guess you can call them 𝑨𝑹𝑴𝒀 𝑩𝑶𝑶𝑻𝑺 🤣🤣 https://t.co/RGYYwTrX7j;zahra⁷🧈;No tiene;2021-06-23 20:51:49;0;1226;Twitter Web App
